EGR,FB,phi,AF,P,Tin,T,u,dF,rhoGF,rhoGB,CH4,H2,O2,CO,CO2,H2O,N2
0.0,0.0,0.8009999999999999,1.2484394506866419,501324.99999999994,548.2859403619267,2180.1972507957685,0.464166864199913,0.00011692556986151874,3.0634308971434843,0.7689928628451758,1.0491899112980621e-19,0.00035479202118483024,0.03842999646206681,0.0009171000455873142,0.07614921557521911,0.15365481450092516,0.7270392364471362
0.0,0.0,0.701,1.4265335235378032,501325.00000000006,551.0444451285118,2031.4009733704993,0.33981041260840306,0.0001437103318663134,3.06074277000871,0.8295315011244747,1.2018996446240098e-21,9.25820674804904e-05,0.05841675186362888,0.00021642944131980313,0.06795983640519614,0.1365735834338062,0.7350205911035125
0.2,0.0,0.8009999999999999,1.2484394506866419,501325.00000000023,554.9070773824794,1784.0165658899105,0.08260839817123732,0.00042613927570534226,3.3779097322769385,1.0502536884378113,3.0836598584283683e-18,1.4684784119598774e-05,0.031062532018360463,0.00011615348345109831,0.2615274887186598,0.12420645640332809,0.5827251730484647
0.1,0.0,0.8009999999999999,1.2484394506866419,501325.0,551.7420833456616,1977.9559043381053,0.214152309513218,0.00020382840197661947,3.220765613978118,0.8976695514088566,2.4421684439074376e-21,8.171041441961234e-05,0.03490573785141917,0.000446130019914347,0.1689042194238503,0.139291126312576,0.6552268055586932
0.1,0.0,0.9009999999999999,1.109877913429523,501325.0000000001,549.4208854316483,2100.9923513228987,0.2651299530920029,0.00017875825327540065,3.2231748886905898,0.8413407228562716,2.115460679666611e-19,0.00031013027547128883,0.017877484346644396,0.0017396591833822432,0.17533820291928207,0.15456518534410885,0.6482496953485676
0.2,0.0,0.601,1.663893510815308,501325.00000000006,559.0488095072386,1531.9892410000105,0.022366003980988636,0.0013513236815139193,3.3730077808158505,1.230647563271121,1.4179006759094796e-13,4.894028724244578e-07,0.06320774485293063,3.4610001186436512e-06,0.24723955202003103,0.09515209622702639,0.5943365187444843
0.2,0.0,0.9009999999999999,1.109877913429523,501325.0000000001,552.9181645874241,1898.7938655571977,0.1086629158482353,0.000351755587940712,3.3801721181503828,0.9835800779434237,2.5618129177644975e-21,6.412335209839252e-05,0.015600314014317648,0.0005231704711002375,0.2680770501680182,0.13816199030726573,0.5769682204149373
0.2,0.0,0.701,1.4265335235378032,501325.0000000001,556.9498413367829,1661.7375571758942,0.049187547725387776,0.0006561456780439693,3.3755281473739234,1.1310778673155457,1.3600485744676553e-14,3.0434554481959568e-06,0.04694402633963909,2.3001328948247892e-05,0.2545369230649543,0.1098227411520512,0.5885085917052351
0.1,0.0,0.601,1.663893510815308,501325.0000000001,556.5852627233055,1692.4763883389396,0.07534045100476064,0.0004656116443145022,3.2154990283353047,1.0571642208946925,2.284194115639555e-14,3.3494574088813585e-06,0.07109322217625867,1.6238188312887486e-05,0.15312968198975624,0.10697906799860812,0.6685587637355184
0.1,0.0,0.701,1.4265335235378032,501325.00000000006,554.1291876644764,1840.0944713503382,0.14564329204045,0.0002700193287114313,3.2182100372823736,0.9686777303195407,7.716265642730542e-18,1.8745339189318736e-05,0.05281052553865202,9.738630029940861e-05,0.16120661466805086,0.12343463615220064,0.661875977524025
0.0,0.0,0.601,1.663893510815308,501325.00000000006,553.886835663069,1866.386247515483,0.2055847843241111,0.00020882768236796088,3.057867113851486,0.9070817695079096,3.711356009981482e-18,1.857828582649706e-05,0.07888173525343278,3.771586796767657e-05,0.05903443478104067,0.11865127116394301,0.7426696586877461
0.2,0.0,1.001,0.9990009990009991,501325.0000000001,550.9808854113041,1992.51950221165,0.11870203243134676,0.0003417182898802414,3.382319047506854,0.9330190772143897,2.2757111743309636e-18,0.000426742501082903,0.0019101713533744217,0.0034851409204305008,0.27157067681563357,0.15151918812821388,0.5704662343475342
0.1,0.0,1.001,0.9990009990009991,501325.00000000006,547.162715894496,2189.7336620202127,0.2900436944984763,0.00017232423563358243,3.225447530563163,0.8018063836200062,3.680677806186938e-17,0.0013068120738308382,0.0038494100936546306,0.0071984339551980905,0.17703867756403677,0.168657532230707,0.6398580408668422
0.0,0.0,0.9009999999999999,1.109877913429523,501325.00000000023,545.6073498211094,2306.0970734591556,0.5632544394203192,0.00010454115541752652,3.0659421546593824,0.7225730504018698,6.184937177773651e-18,0.0011656333159634508,0.0197408561972807,0.0031893103963403745,0.08249702260370638,0.16956509201088396,0.7182369412039721
0.0,0.0,1.001,0.9990009990009991,501325.0,543.004964365078,2389.3386791280673,0.6235557303182282,9.917546288981343e-05,3.0682868723556074,0.6910556316577319,4.370721036894154e-16,0.003805033743183065,0.005399790557207476,0.010205506654202135,0.08363515035009343,0.18330197853317823,0.7076334827524013
0.0,0.0,1.101,0.9082652134423251,501325.0000000001,540.4753142999757,2377.976333959963,0.6307086384196018,9.721359607100445e-05,3.0704745447155837,0.6829859037258014,3.752655355900568e-14,0.012008429656159106,0.0005181848818856705,0.027197787378580765,0.0738151339185075,0.1904709898371671,0.6926286090043507
0.2,0.0,1.101,0.9082652134423251,501325.0,549.0931444896233,1946.0302895170946,0.1087980862718585,0.0003587142372420813,3.384357631879692,0.9404101555291162,1.5026996198931817e-14,0.003741514616354269,1.332996888577903e-05,0.025873410146154383,0.2523976252084396,0.16000093969011273,0.557795619040072
0.1,0.0,1.101,0.9082652134423251,501324.99999999994,544.9648709583819,2160.7958051855703,0.2817211765242932,0.00017303349362522878,3.2275897849220367,0.7996961933181486,1.4908460411370574e-14,0.005926216261514318,0.0001433592430693122,0.02778283182228686,0.16168200083202117,0.1776245181952825,0.625938138502374
0.2,0.0,1.2009999999999998,0.8326394671107411,501325.0000000001,547.2529707507189,1876.775006805273,0.07975225638382331,0.0004675244115254625,3.3862865620031277,0.9584186593592522,5.523891978770714e-13,0.00858081641173899,8.667192528281129e-07,0.049298098585509716,0.23148068038761746,0.16601421681337383,0.544539053884962
0.2,0.0,1.3009999999999997,0.768639508070715,501325.00000000006,545.4584941387817,1810.130940945302,0.05202967918575334,0.000719530768855627,3.3880012746037096,0.9769416915215339,4.782390079372629e-11,0.014632210908244292,9.618886265589686e-08,0.07044299739541769,0.21262457195415682,0.1704863493722622,0.5317668590840771
0.1,0.0,1.2009999999999998,0.8326394671107411,501325.00000000023,542.8248070401138,2084.4366617670253,0.2333974735714842,0.00019735812314132563,3.229610072740561,0.8129814057816823,5.046707844706497e-13,0.013550854235342758,1.0356242137739804e-05,0.05162925216347374,0.14208868471022415,0.1822454451307283,0.6100324826981335
0.1,0.0,1.3009999999999997,0.768639508070715,501325.00000000023,540.7401286313125,2008.2630011849976,0.15749092852090293,0.00027832530832854136,3.2315114487967795,0.8278809319708682,5.593976068948704e-12,0.023062794913401165,1.2131545953189494e-06,0.07246779240680205,0.12531890765547812,0.18401376367820405,0.5948779618683989
0.2,0.0,1.4009999999999998,0.7137758743754462,501325.0000000001,543.707947235769,1745.7702834694503,0.03975972551064234,0.0009544685524796501,3.3897795764257554,0.9967303467629957,6.1044005909214424e-06,0.021780245258995468,1.2233340109374245e-08,0.0891382327944622,0.19633760598561717,0.17285050015300601,0.5198614164764179
0.0,0.0,1.3009999999999997,0.768639508070715,501325.0000000002,535.6214220781014,2223.2180564098862,0.42008077584016773,0.00013099760175731064,3.0744132862714695,0.7003877193021391,8.893828696360747e-12,0.04314789201230822,6.472630586728278e-06,0.06293731259924765,0.05046577012942751,0.18538546832513939,0.6569459702566433
0.1,0.0,1.4009999999999998,0.7137758743754462,501325.0000000003,538.7085772924816,1935.632932813898,0.10129600976777316,0.00042885861468190065,3.233279439127351,0.8432109207857975,3.7899877359690455e-11,0.03419475854566278,1.7719886032770648e-07,0.09021067664127327,0.11143411531696436,0.18351585882736282,0.5804953242610877
0.0,0.0,1.2009999999999998,0.8326394671107411,501325.00000000006,538.0151495944295,2304.32202010402,0.5622338699645976,0.00010374647098769384,3.072514051206762,0.6901193317518652,9.420692946373354e-13,0.026096724672838585,4.848323965278034e-05,0.04675871512752161,0.06063058504719963,0.19011408108748304,0.6745627225928366
0.0,0.0,1.4009999999999998,0.7137758743754462,501325.0,533.2912693908897,2145.1446099026225,0.27591572398384145,0.00019111353387141932,3.0761787842659882,0.7110451178988805,5.038274356495755e-11,0.06178389916593362,1.0866234280947554e-06,0.07596067517239855,0.04304370664631741,0.17845435136406915,0.6400414693356282
