EGR;phi;P;Tin;T;u
0.0;0.8;100000.00000000007;300.0;1934.2857142857142;0.27
0.0;0.8;500000.00000000023;300.0;2004.9645390070923;0.123
0.1;0.8;100000.00000000007;300.0;1914.2857142857142;0.226
0.1;0.8;500000.00000000035;300.0;1985.1063829787236;0.115
0.3;0.8;100000.00000000006;300.0;1865.7142857142858;0.177
0.3;0.8;500000.00000000023;300.0;1934.0425531914893;0.088
0.5;0.8;100000.00000000004;300.0;1774.2857142857142;0.132
0.5;0.8;500000.00000000023;300.0;1848.936170212766;0.0614
0.0;0.9;100000.00000000004;300.0;2028.5714285714284;0.315
0.0;0.9;500000.00000000023;300.0;2149.645390070922;0.171
0.1;0.9;100000.00000000004;300.0;2000.0;0.266
0.1;0.9;500000.0000000003;300.0;2126.950354609929;0.155
0.3;0.9;100000.00000000006;300.0;1945.7142857142858;0.222
0.3;0.9;500000.0000000004;300.0;2067.375886524823;0.121
0.5;0.9;100000.00000000007;300.0;1845.7142857142858;0.174
0.5;0.9;500000.00000000023;300.0;1970.921985815603;0.0784
0.0;1.0;100000.00000000004;300.0;2082.857142857143;0.354
0.0;1.0;500000.00000000023;300.0;2251.77304964539;0.196
0.1;1.0;100000.00000000007;300.0;2051.4285714285716;0.306
0.1;1.0;500000.00000000023;300.0;2229.078014184397;0.176
0.3;1.0;100000.00000000007;300.0;1988.5714285714284;0.244
0.3;1.0;500000.00000000035;300.0;2160.9929078014184;0.133
0.5;1.0;100000.00000000006;300.0;1885.7142857142858;0.186
0.5;1.0;500000.00000000023;300.0;2050.354609929078;0.0836
0.0;1.1;100000.00000000004;300.0;2088.5714285714284;0.358
0.0;1.1;500000.00000000023;300.0;2223.404255319149;0.195
0.1;1.1;100000.00000000004;300.0;2057.142857142857;0.302
0.1;1.1;500000.00000000023;300.0;2195.0354609929077;0.174
0.3;1.1;100000.00000000004;300.0;1991.4285714285716;0.236
0.3;1.1;500000.0000000003;300.0;2118.4397163120566;0.127
0.5;1.1;100000.00000000006;300.0;1888.5714285714284;0.178
0.5;1.1;500000.0000000004;300.0;1999.290780141844;0.0732
0.0;1.2;100000.00000000007;300.0;2060.0;0.323
0.0;1.2;500000.00000000023;300.0;2141.1347517730496;0.162
0.1;1.2;100000.00000000004;300.0;2034.2857142857142;0.265
0.1;1.2;500000.00000000023;300.0;2112.7659574468084;0.133
0.3;1.2;100000.00000000007;300.0;1962.857142857143;0.189
0.3;1.2;500000.00000000023;300.0;2033.3333333333335;0.093
0.5;1.2;100000.00000000007;300.0;1851.4285714285716;0.144
0.5;1.2;500000.00000000035;300.0;1908.5106382978724;0.047