EGR,phi,T,P,O2,CO,CO2
0.0,0.0,1699.9535114289345,1000000.0000649147,0.2100800896694828,0.0,0.0
0.020689655172413793,0.0,1699.9469252735153,999999.9999999927,0.20573397446222388,9.964068468616815e-07,0.020688581731378518
0.041379310344827586,0.0,1699.9403574396258,1000000.0000000003,0.2013878721920139,2.014046279775463e-06,0.041377122601865705
0.06206896551724138,0.0,1699.9337994435125,1000000.0000000007,0.19704178343013687,3.053969037094887e-06,0.06206562089190819
0.08275862068965517,0.0,1699.9272426954383,999999.9999999994,0.19269570878777684,4.117304014604089e-06,0.08275407475812285
0.10344827586206896,0.0,1699.9206784240314,999999.9999999945,0.18834964892143582,5.2052661173612746e-06,0.10344248222106617
0.12413793103448276,0.0,1699.9140976245387,1000000.0000000036,0.18400360453752124,6.319165104366083e-06,0.12413084115147502
0.14482758620689656,0.0,1699.9074910028094,999999.9999999946,0.17965757639756127,7.460415579170204e-06,0.14481914925471773
0.16551724137931034,0.0,1699.9008489142016,999999.9999999906,0.17531156532404565,8.630548307538677e-06,0.1655074040532396
0.18620689655172412,0.0,1699.89416129621,999999.9999999859,0.17096557220711125,9.831223077182218e-06,0.1861956028665813
0.20689655172413793,0.0,1699.8874175937683,999999.9999999764,0.16661959801212145,1.1064243355961446e-05,0.20688374278864913
0.22758620689655173,0.0,1699.8806066756063,999999.9999999747,0.16227364378834433,1.2331573055554934e-05,0.22757182066176004
0.2482758620689655,0.0,1699.8737167400295,999999.9999999751,0.15792771067889788,1.3635355769894185e-05,0.24825983304684132
0.2689655172413793,0.0,1699.8667352080104,999999.9999999687,0.15358179993219773,1.4977936934705944e-05,0.2689477761891589
0.2896551724137931,0.0,1699.85964860104,999999.999999966,0.1492359129151706,1.6361889450337853e-05,0.28963564597875047
0.3103448275862069,0.0,1699.8524424007205,999999.9999999604,0.14489005112859776,1.779004342993704e-05,0.31032343790447736
0.3310344827586207,0.0,1699.8451008863033,999999.9999999544,0.1405442162249797,1.9265520885984616e-05,0.33101114700053863
0.35172413793103446,0.0,1699.8376069456294,999999.9999999538,0.13619841002944671,2.079177635944095e-05,0.35169876778384873
0.37241379310344824,0.0,1699.8299418536214,999999.9999999506,0.13185263456433396,2.2372644739713995e-05,0.372386294180424
0.3931034482758621,0.0,1699.82208501113,999999.9999999407,0.12750689207829755,2.4012397837225724e-05,0.393073719438332
0.41379310344827586,0.0,1699.8140136352918,999999.9999999383,0.12316118508077327,2.5715811676567443e-05,0.41376103602431175
0.43448275862068964,0.0,1699.8057023896026,999999.9999999338,0.1188155163833239,2.7488247008434426e-05,0.434448235500112
0.45517241379310347,0.0,1699.7971229392326,999999.9999999334,0.11446988914928499,2.9335746237432832e-05,0.4551353083737749
0.47586206896551725,0.0,1699.788243412437,999999.999999929,0.11012430695390951,3.1265150891992226e-05,0.4758222439195742
0.496551724137931,0.0,1699.7790277434515,999999.999999924,0.10577877385769012,3.328424501102211e-05,0.4965090299584328
0.5172413793103449,0.0,1699.7694348641012,999999.9999999272,0.10143329449651069,3.540193151697937e-05,0.5171956525879714
0.5379310344827586,0.0,1699.7594177009357,999999.9999999264,0.09708787419333845,3.762845097401513e-05,0.5378820958480718
0.5586206896551724,0.0,1699.7489219194606,999999.999999934,0.09274251909788557,3.9975655369626226e-05,0.5585683413026133
0.5793103448275863,0.0,1699.7378843360036,999999.9999999242,0.08839723636298223,4.245735412727343e-05,0.5792543675113004
0.6,0.0,1699.7262308873737,999999.9999999295,0.08405203436965802,4.50897560965142e-05,0.5999401493556137
0.0,0.0,1699.9653450824608,1800000.0001164842,0.21008109359511307,0.0,0.0
0.020689655172413793,0.0,1699.9604346077556,1799999.9999999974,0.2057348635463701,7.428027196701115e-07,0.020688854943278403
0.041379310344827586,0.0,1699.9555376035803,1799999.999999996,0.20138864315524624,1.5014638621456115e-06,0.04137767939323605
0.06206896551724138,0.0,1699.9506477387968,1799999.9999999977,0.19704243284844666,2.2767677015481197e-06,0.062066472066114965
0.08275862068965517,0.0,1699.9457586087915,1799999.9999999965,0.1926962330821879,3.069556926895487e-06,0.08275523158564144
0.10344827586206896,0.0,1699.940863672468,1799999.9999999988,0.18835004434655092,3.880738509458141e-06,0.10344395647389208
0.12413793103448276,0.0,1699.9359562135674,1799999.9999999902,0.18400386716891545,4.711290312581433e-06,0.12413264514100822
0.14482758620689656,0.0,1699.931029298907,1799999.9999999793,0.1796577021178405,5.5622685585074606e-06,0.14482129587358056
0.16551724137931034,0.0,1699.9260757327097,1799999.999999985,0.17531154980744257,6.434816287657423e-06,0.1655099068215174
0.18620689655172412,0.0,1699.921088006311,1799999.9999999697,0.17096541090239087,7.330172971236264e-06,0.18619847598310085
0.20689655172413793,0.0,1699.9160582423244,1799999.9999999802,0.16661928612357096,8.249685468970905e-06,0.20688700118804854
0.22758620689655173,0.0,1699.9109781321545,1799999.99999996,0.16227317625457147,9.19482056167259e-06,0.22757548007803066
0.2482758620689655,0.0,1699.9058388655712,1799999.9999999586,0.15792708214912293,1.0167179334951914e-05,0.2482639100844509
0.2689655172413793,0.0,1699.9006310507996,1799999.9999999544,0.15358100473964795,1.1168513748084138e-05,0.26895228840281976
0.2896551724137931,0.0,1699.895344623183,1799999.999999945,0.14923494504714988,1.2200745793759172e-05,0.28964061196313695
0.3103448275862069,0.0,1699.8899687402154,1799999.9999999264,0.14488890419268188,1.3265989744240315e-05,0.3103288773955533
0.3310344827586207,0.0,1699.8844916600665,1799999.9999999169,0.1405428834107068,1.4366578092449064e-05,0.3310170809903892
0.35172413793103446,0.0,1699.8789006001366,1799999.9999999164,0.13619688406473293,1.5505091939703495e-05,0.35170521865127746
0.37241379310344824,0.0,1699.873181571424,1799999.9999998969,0.13185090766570043,1.6684396764591452e-05,0.3723932858401123
0.3931034482758621,0.0,1699.8673191831356,1799999.9999998782,0.1275049558937502,1.7907684742263785e-05,0.3930812775119527
0.41379310344827586,0.0,1699.861296411044,1799999.9999998873,0.12315903062400856,1.9178525087758605e-05,0.41376918803768026
0.43448275862068964,0.0,1699.8550943206965,1799999.9999998815,0.1188131339575202,2.05009242941897e-05,0.43445701111146023
0.45517241379310347,0.0,1699.8486917346459,1799999.9999998917,0.11446726825838437,2.1879398660293638e-05,0.4551447396395402
0.47586206896551725,0.0,1699.8420648293968,1799999.999999868,0.11012143619876706,2.331906219814381e-05,0.47583236560543857
0.496551724137931,0.0,1699.835186643544,1799999.9999998678,0.10577564081376921,2.4825733947490047e-05,0.4965198799056827
0.5172413793103449,0.0,1699.8280264726588,1799999.999999875,0.10142988556890112,2.6406069993892224e-05,0.5172072721477392
0.5379310344827586,0.0,1699.8205491184394,1799999.9999998948,0.0970841744436861,2.806772723391204e-05,0.5378945303996846
0.5586206896551724,0.0,1699.8127139484443,1799999.99999988,0.09273851203622635,2.981956836023125e-05,0.5585816408770445
0.5793103448275863,0.0,1699.8044737066984,1799999.9999998824,0.08839290369525213,3.16719209664903e-05,0.5792685875474093
0.6,0.0,1699.7957729929813,1799999.9999998892,0.08404735568869155,3.363690857753678e-05,0.5999553516255525
